bookID,title,authors,average_rating,isbn,isbn13,language_code,# num_pages,ratings_count,text_reviews_count,
2331,The Lord of the Rings- 3 volumes set (The Lord of the Rings  #1-3),by J.R.R. Tolkien,4.49,618574999,9.78062E+12,en-US,1438,233,9,
2333,Farmer Giles of Ham,by J.R.R. Tolkien-Christina Scull-Wayne G. Hammond,3.84,618009361,9.78062E+12,eng,127,5221,198,
2338,Matthew Flinders' Cat,by Bryce Courtenay,3.8,670910619,9.78067E+12,eng,611,2627,147,
2340,Whitethorn,by Bryce Courtenay,4.07,067002922X,9.78067E+12,eng,683,2203,130,
2343,Solomon's Song (The Potato Factory  #3),by Bryce Courtenay,4.01,140271570,9.78014E+12,eng,671,3767,125,
2353,Cold Counsel: Women in Old Norse Literature and Myth,by Sarah M.  Anderson-Karen Swenson,3.61,815319665,9.78082E+12,eng,320,18,2,
2367,Brave Companions: Portraits in History,by David McCullough,3.98,671792768,9.78067E+12,eng,240,3166,441,
2368,Mornings on Horseback: The Story of an Extraordinary Family  a Vanished Way of Life  and the Unique Child Who Became Theodore Roosevelt,by David McCullough,4.12,671447548,9.78067E+12,eng,445,21832,1131,
2370,John Adams,by David McCullough,4.06,684813637,9.78068E+12,en-US,752,1785,276,
2371,The Johnstown Flood,by David McCullough,4.1,844662925,9.78084E+12,eng,302,13806,1128,
2372,The Path Between the Seas: The Creation of the Panama Canal  1870-1914,by David McCullough,4.19,743262131,9.78074E+12,eng,697,11534,987,
2373,The Bone Collector (Lincoln Rhyme  #1),by Jeffery Deaver,4.19,451188454,9.78045E+12,eng,528,132188,1636,
2374,The Bone Collector (Lincoln Rhyme  #1),by Jeffery Deaver,4.19,340682116,9.78034E+12,en-GB,467,222,31,
2378,El Coleccionista De Huesos (Lincoln Rhyme  #1),by Jeffery Deaver,4.19,8466305130,9.78847E+12,spa,640,26,2,
2386,Moby Dick,by Herman Melville-William Hootkins,3.49,9626343583,9.78963E+12,eng,25,66,17,
2388,Moby-Dick,by Jan Needle-Patrick Benson-Herman Melville,3.72,763630187,9.78076E+12,eng,192,155,16,
2389,Moby Dick,by Herman Melville-William Hootkins,3.49,143058096,9.78014E+12,eng,6,8872,900,
2390,Moby-Dick,by Herman Melville-Carl F. Hovde,3.49,1593080182,9.78159E+12,eng,707,1165,193,
2400,Herman Melville's Moby-Dick: A Routledge Study Guide and Sourcebook,by Michael J. Davey-Duncan Wu,3.61,415247713,9.78042E+12,eng,208,50,7,
2404,Moby Dick: or The White Whale (Oxford Illustrated Classics),by Geraldine McCaughrean-Victor G. Ambrus-Herman Melville,3.85,192781537,9.78019E+12,eng,104,38,5,
2405,My Moby Dick,by William Humphrey,4.15,701124229,9.7807E+12,eng,96,12,1,
2407,Melville's Moby Dick: An American Nekyia (Studies in Jungian Psychology by Jungian Analysts),by Edward F. Edinger,3.84,919123708,9.78092E+12,eng,156,21,4,
2409,Moby Dick: Or  the White Whale (Oxford Illustrated Classics Series),by Geraldine McCaughrean-Victor G. Ambrus-Herman Melville,3.85,019274156X,9.78019E+12,eng,102,6,0,
2410,Moby Dick,by Herman Melville,3.49,671463713,9.78067E+12,eng,248,2,1,
2411,Melville and the politics of identity: From *King Lear* to *Moby-Dick*,by Julian Markels,3.33,252063023,9.78025E+12,eng,164,0,0,
2412,"Unpainted to the Last: ""Moby Dick"" and Twentieth-century American Art",by Elizabeth A. Schultz,4.28,700607420,9.7807E+12,eng,400,16,1,
2418,In the Heart of the Sea: The Epic True Story That Inspired Moby-Dick,by Nathaniel Philbrick,4.16,6531202,9.78001E+12,eng,302,278,34,
2423,Double Tap (Paul Madriani  #8),by Steve Martini,3.91,515139734,9.78052E+12,en-US,401,2686,153,
2430,The List,by Steve Martini,3.96,515121495,9.78052E+12,eng,451,12329,135,
2442,Witches Abroad (Discworld  #12; Witches #3),by Terry Pratchett,4.23,61020613,9.78006E+12,eng,374,55253,1173,
2443,The Innocents Abroad,by Mark Twain,3.86,812967054,9.78081E+12,eng,560,8540,663,
2445,Teaching English Abroad,by Susan  Griffith,3.59,1854583522,9.78185E+12,eng,576,36,6,
2452,Theocritus: Select Poems: Select Poems,by Theocritus-Kenneth James Dover,3,862921473,9.78086E+12,grc,395,1,1,
2473,The Shield. Catalogue of Women. Other Fragments. (Hesiod II),by Hesiod-Glenn W. Most,4.03,674996232,9.78067E+12,eng,434,33,1,
2486,Death and the King's Horseman,by Wole Soyinka-Simon Gikandi,3.76,393977617,9.78039E+12,en-US,254,249,29,
2491,Learning to Love: Exploring Solitude and Freedom,by Thomas Merton-Christine M. Bochen,4.5,60654856,9.78006E+12,eng,382,15,2,
2493,The Time Machine,by H.G. Wells-Greg Bear-Carlo Pagetti,3.88,451528557,9.78045E+12,eng,118,320900,6353,
2494,The Time Machine,by H.G. Wells-Patrick Parrinder-Steven McLean-Marina Warner,3.88,141439971,9.78014E+12,eng,104,2864,281,
2495,The Time Machine,by H.G. Wells-Cynthia Brantley Johnson-Benjamin Beard,3.88,743487737,9.78074E+12,eng,150,359,36,
2498,The Time Machine Did It,by John Swartzwelder,3.84,975579908,9.78098E+12,en-US,138,1448,164,
2499,The Ultimate Time Machine: A Remote Viewer's Perception of Time & Predictions for the New Millennium,by Joseph McMoneagle,3.49,157174102X,9.78157E+12,en-GB,275,56,5,
2501,The Time Machine,by H.G. Wells-Melvin Burgess,3.88,439436540,9.78044E+12,eng,123,263,31,
2504,The Complete Short Stories,by H.G. Wells-John R. Hammond,4.14,1842124021,9.78184E+12,eng,864,867,30,
2506,Selected Stories,by H.G. Wells-Ursula K. Le Guin,3.98,812970756,9.78081E+12,en-US,432,77,9,
2508,Tono-Bungay,by H.G. Wells-Edward Mendelson-Patrick Parrinder,3.42,141441119,9.78014E+12,eng,414,820,106,
2519,The Name of the Rose (Everyman's Library (Cloth)),by Umberto Eco,4.12,307264890,9.78031E+12,en-US,560,1323,113,
2520,In the Name of Jesus: Reflections on Christian Leadership,by Henri J.M. Nouwen,4.35,824512596,9.78082E+12,en-US,120,7501,367,
2521,Blood Done Sign My Name: A True Story,by Timothy B. Tyson,4.15,1400083117,9.7814E+12,eng,368,2470,388,
2526,Blindness,by José Saramago-Giovanni Pontiero,4.11,156007754,9.78016E+12,eng,326,106162,7807,
2527,The Gospel According to Jesus Christ,by José Saramago-Giovanni Pontiero,4.28,156001411,9.78016E+12,eng,377,788,110,
2528,All the Names,by José Saramago-Margaret Jull Costa,3.89,156010593,9.78016E+12,eng,245,10634,715,
2529,The Tale of the Unknown Island,by José Saramago-Peter Sís-Margaret Jull Costa,3.89,156013037,9.78016E+12,eng,64,3138,233,
2530,Baltasar and Blimunda,by José Saramago-Giovanni Pontiero,3.91,156005204,9.78016E+12,eng,346,5950,272,
2531,The Cave,by José Saramago-Margaret Jull Costa,3.83,156028794,9.78016E+12,eng,307,7390,535,
2535,The Stone Raft,by José Saramago-Giovanni Pontiero,3.8,156004011,9.78016E+12,en-US,292,305,30,
2536,The Year of the Death of Ricardo Reis,by José Saramago-Giovanni Pontiero,4.03,1860465021,9.78186E+12,eng,384,3618,188,
2538,El hombre duplicado,by José Saramago-Pilar del Río,3.88,8466312803,9.78847E+12,spa,380,1106,89,
2539,Ensayo sobre la lucidez,by José Saramago-Pilar del Río,3.79,8466314741,9.78847E+12,spa,461,1544,105,
2541,La caverna,by José Saramago-Pilar del Río,3.83,846630679X,9.78847E+12,spa,441,742,65,
2542,The History of the Siege of Lisbon,by José Saramago-Giovanni Pontiero,3.8,156006243,9.78016E+12,eng,314,324,62,
2543,Las intermitencias de la muerte,by José Saramago-Pilar del Río,3.99,9587043642,9.78959E+12,spa,274,2425,257,
2545,The Treasured Writings of Kahlil Gibran,by Kahlil Gibran,4.42,089009389X,9.78089E+12,eng,902,1407,45,
2547,The Prophet,by Kahlil Gibran-_____ ____ _____,4.23,000100039X,9.78E+12,eng,127,167189,4996,
2549,A Tear and a Smile,by Kahlil Gibran-_____ ____ _____-H.M. Nahmad-Robert Hillyer,4.03,394448049,9.78039E+12,eng,228,2035,100,
2551,On the Road,by Jack Kerouac,3.63,143036386,9.78014E+12,eng,320,480,39,
2552,On the Road,by Jack Kerouac-Ann Charters,3.63,141182679,9.78014E+12,eng,281,5218,460,
2557,De Kooning: An American Master,by Mark Stevens-Annalyn Swan,4.11,375711163,9.78038E+12,eng,732,2664,104,
